Employee_ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating
00-95822412,Danielle,Johnson,Female,New York,New York City,High School,13/02/1980,16/04/2016,5/7/2021,Customer Service,Help Desk Technician,"$81,552.00",Needs Improvement
00-42868828,John,Taylor,Male,North Carolina,Charlotte,Bachelor,22/09/1987,9/2/2017,14/06/2019,IT,System Administrator,"$107,520.00",Good
00-83197857,Erica,Mcclain,Male,New York,New York City,Bachelor,19/05/1994,3/2/2016,6/3/2021,Operations,Logistics Coordinator,"$61,104.00",Good
00-13999315,Brittany,Johnson,Male,New York,New York City,Bachelor,18/04/1980,6/2/2016,6/11/2018,Operations,Inventory Specialist,"$73,770.00",Good
00-90801586,Jeffery,Wagner,Female,New York,New York City,Bachelor,7/4/1985,11/1/2015,,Operations,Operations Analyst,"$55,581.00",Satisfactory
00-97226012,Anna,Baldwin,Female,New York,New York City,Bachelor,31/05/1988,30/09/2022,29/03/2023,Operations,Operations Analyst,"$73,800.00",Good
00-70291817,Amy,Robinson,Male,New York,New York City,Bachelor,16/07/1991,16/08/2020,12/2/2021,Finance,Accountant,"$68,181.00",Good
00-31429110,Joshua,Booth,Female,New York,New York City,Bachelor,19/09/1995,22/10/2022,20/04/2023,Finance,Accounts Payable Specialist,"$54,499.00",Good
00-30868105,Linda,Wolfe,Male,New York,New York City,High School,11/5/2002,13/05/2017,15/11/2021,Operations,Inventory Specialist,"$57,340.00",Needs Improvement
00-22448136,Joshua,Lewis,Female,New York,New York City,Bachelor,21/11/1980,24/10/2018,30/03/2022,Operations,Logistics Coordinator,"$54,065.00",Good
00-56164955,Matthew,Davis,Female,New York,New York City,High School,8/2/1994,7/2/2021,6/8/2021,Marketing,SEO Specialist,"$83,262.00",Needs Improvement
00-71662963,Michael,Cooper,Female,New York,New York City,High School,26/04/1974,12/4/2020,28/01/2024,HR,Recruiter,"$61,651.00",Needs Improvement
00-84093639,Lindsay,Blair,Male,New York,New York City,Bachelor,26/05/1967,28/07/2017,24/01/2018,Operations,Operations Analyst,"$75,509.00",Good
00-58537831,David,Nielsen,Female,New York,New York City,High School,26/07/2001,31/01/2020,29/07/2020,Customer Service,Help Desk Technician,"$67,011.00",Needs Improvement
00-16150444,Andrea,Calderon,Male,Michigan,Grand Rapids,Bachelor,22/05/1987,29/08/2022,25/02/2023,IT,IT Support Specialist,"$60,136.00",Good
00-41244663,Nicole,Ward,Male,New York,New York City,Bachelor,13/12/1963,16/03/2023,12/9/2023,Operations,Logistics Coordinator,"$67,552.00",Satisfactory
00-70855700,Janet,Williams,Male,Michigan,Grand Rapids,Bachelor,26/12/2002,30/03/2021,26/09/2021,Operations,Inventory Specialist,"$59,934.00",Good
00-59684848,Kendra,Galloway,Female,New York,New York City,PhD,1/4/1963,29/11/2018,8/12/2019,Sales,Sales Manager,"$104,162.00",Excellent
00-96977837,Jesse,Garcia,Male,New York,New York City,Bachelor,3/2/1963,17/04/2016,29/01/2023,Customer Service,Customer Service Representative,"$63,873.00",Good
00-81691040,Shawn,Flowers,Male,Michigan,Warren,Bachelor,28/06/1959,5/3/2022,1/9/2022,IT,IT Support Specialist,"$66,250.00",Excellent
00-60929647,Mitchell,Clark,Male,New York,New York City,Bachelor,14/09/1973,14/04/2017,16/06/2024,Customer Service,Support Specialist,"$61,729.00",Satisfactory
00-84752529,Jacqueline,Sutton,Female,New York,New York City,Master,29/06/1979,28/01/2017,6/8/2022,Sales,Sales Manager,"$84,046.00",Good
00-17507864,Chelsea,Jackson,Male,North Carolina,Raleigh,PhD,10/7/1994,11/10/2017,9/4/2018,Sales,Sales Specialist,"$69,318.00",Excellent
00-52339391,John,Ford,Male,Pennsylvania,Philadelphia,Bachelor,15/07/2002,15/04/2019,12/10/2019,Sales,Sales Consultant,"$99,002.00",Satisfactory
00-86125617,Veronica,Bowman,Male,New York,New York City,Bachelor,16/04/1990,5/8/2017,6/2/2018,Operations,Logistics Coordinator,"$69,163.00",Good
00-97971488,Jeffrey,Nguyen,Male,New York,New York City,Bachelor,18/12/1992,25/10/2020,27/10/2021,Operations,Inventory Specialist,"$65,830.00",Good
00-29175900,Kimberly,Perez,Male,New York,New York City,Bachelor,19/11/1970,13/01/2017,,Marketing,Content Creator,"$68,419.00",Good
